Genotype,L1W,L2W,L3W,L4W,L5W,L6W,L7W
R002-R096,5.2,7.5,9.4,9.8,10.2,9.8,9.2
R003-R146,4.7,6.7,8.1,9.0,9.2,8.8,8.3
R003-R166,4.7,6.4,7.9,8.7,8.9,8.5,8.0
R004-R098,4.7,6.7,8.5,9.2,9.4,9.2,8.3
R004-R124,4.9,6.7,8.1,9.4,9.5,9.1,8.3
R004-R147,4.7,6.3,7.7,8.4,8.8,8.6,8.2
R005-R100,4.7,6.8,8.5,9.9,10.2,9.9,9.0
R006-R127,4.9,6.8,8.7,9.6,9.9,9.6,9.0
R006-R149,4.7,6.8,8.5,9.8,10.4,10.4,10.1
R006-R169,4.5,6.9,8.2,9.7,10.1,9.9,9.2
R006-R178,5.0,7.1,9.1,10.2,10.6,10.2,9.6
R007-R128,5.5,8.4,9.8,10.6,10.8,10.3,9.6
R008-R103,5.0,7.2,9.2,10.0,10.3,10.0,9.2
R008-R171,4.2,6.1,7.6,9.0,9.6,9.5,9.4
R008-R172,4.5,6.3,7.9,9.2,9.7,9.4,9.2
R009-R104,4.7,6.6,8.3,9.5,9.9,9.6,9.2
R009-R152,4.6,6.4,8.0,8.7,9.5,9.3,9.0
R011-R132,4.9,7.0,8.7,10.0,10.3,9.9,9.3
R011-R154,4.7,7.1,8.5,9.8,9.7,9.5,8.9
R012-R107,4.9,7.1,8.0,9.4,9.8,9.9,9.3
R012-R133,5.1,6.9,9.0,9.8,10.4,9.9,9.3
R013-R108,4.9,6.4,8.0,8.3,8.8,8.6,8.2
R013-R134,5.1,7.3,8.5,9.4,9.6,9.1,8.5
R013-R171,5.3,6.9,7.8,9.0,9.4,9.3,8.8
R014-R109,4.4,5.8,7.4,8.8,9.8,10.2,9.7
R014-R135,4.2,5.9,7.4,8.9,9.8,9.6,8.7
R014-R177,4.0,5.4,6.6,7.9,8.4,8.6,8.3
R015-R110,4.3,6.2,7.6,9.1,9.8,10.0,9.5
R015-R136,4.5,6.4,8.0,8.9,9.6,9.6,8.8
R015-R158,4.4,6.4,8.3,9.3,9.9,10.2,9.5
R016-R111,5.2,7.0,8.5,9.5,10.0,9.7,9.2
R016-R137,5.2,7.3,8.3,9.2,9.6,9.7,9.2
R016-R159,5.2,7.0,8.7,9.7,9.5,9.6,9.1
R016-R168,4.9,6.5,7.7,8.4,8.9,9.0,8.1
R017-R138,4.9,6.5,7.7,8.4,8.9,9.0,8.1
R017-R160,4.8,6.7,8.1,9.3,9.8,9.6,8.9
R017-R167,4.6,6.4,8.0,8.8,9.0,8.9,8.2
R018-R161,4.8,7.0,8.6,10.0,10.3,10.3,9.9
R020-R114,4.9,7.0,8.9,9.9,9.6,9.3,8.8
R020-R140,4.9,7.0,8.9,9.9,9.6,9.3,8.8
R021-R115,4.3,6.5,8.1,9.3,9.5,9.1,8.7
R021-R163,5.0,6.7,8.5,9.5,9.6,9.3,8.8
R022-R095,4.4,6.2,7.4,8.2,8.5,8.3,7.6
R022-R163,4.7,6.3,8.0,9.0,9.5,9.2,8.6
R023-R096,4.9,6.9,8.5,9.5,9.6,9.3,8.6
R023-R117,4.8,6.4,7.8,8.7,9.2,9.2,8.6
R023-R145,4.6,6.2,7.8,8.9,9.4,9.3,8.7
R026-R119,4.9,6.9,8.5,10.0,10.1,9.3,8.7
R028-R121,5.0,7.1,8.3,8.9,9.4,9.2,8.5
R028-R149,4.9,6.7,8.2,9.7,10.4,10.0,9.1
R029-R122,4.7,6.4,8.0,9.1,9.6,9.5,8.8
R029-R150,5.0,7.1,8.3,8.9,9.4,9.2,8.6
R029-R170,5.1,7.4,9.2,10.4,10.1,9.8,9.0
R032-R105,5.1,7.0,8.6,9.9,10.2,9.8,9.1
R032-R154,5.4,7.5,9.0,9.2,9.6,9.2,8.5
R033-R128,5.6,8.1,9.6,10.6,10.8,10.4,9.8
R033-R153,4.9,6.7,8.2,9.7,10.4,10.0,9.1
R033-R154,5.7,8.0,9.1,10.1,10.6,9.9,8.9
R033-R174,4.8,6.7,8.1,9.7,10.1,9.7,9.4
R034-R107,5.1,7.1,8.3,8.9,9.4,9.2,8.6
R034-R129,4.6,6.0,8.2,8.9,9.4,9.0,8.6
R034-R152,4.4,6.4,7.9,9.1,9.6,9.7,9.4
R034-R155,4.6,6.5,8.2,9.8,10.2,9.9,9.2
R038-R110,5.3,7.5,9.1,10.4,10.7,10.7,9.9
R038-R178,5.2,7.3,9.2,10.0,10.6,10.0,9.2
R039-R133,4.8,6.7,8.1,9.7,10.1,9.7,9.4
R039-R148,4.8,6.5,8.1,8.9,9.4,9.0,8.8
R040-R112,4.4,6.2,7.4,7.9,8.4,8.5,8.2
R040-R134,4.7,6.6,7.9,9.0,9.6,9.6,9.2
R040-R147,4.2,5.4,6.8,7.7,8.4,8.5,8.1
R040-R160,4.2,5.4,6.8,7.7,8.4,8.5,8.1
