Genotype,L1W,L2W,L3W,L4W,L5W,L6W,L7W
S13-R001,4.7,6.0,7.2,7.8,8.1,7.2,6.1
S13-R002,5.1,7.0,8.4,8.8,8.9,7.6,6.2
S13-R003,4.9,6.7,8.0,8.5,8.4,7.3,6.3
S13-R004,4.9,6.6,7.8,8.1,8.1,7.3,6.1
S13-R005,4.8,6.7,8.2,9.2,9.1,7.8,6.7
S13-R006,4.5,6.1,7.3,8.5,8.9,8.2,7.0
S13-R007,5.5,8.0,9.4,9.9,9.7,8.7,7.9
S13-R008,4.9,6.7,8.5,9.5,9.1,9.4,8.3
S13-R009,4.4,6.0,7.3,7.9,8.3,8.1,6.9
S13-R011,5.1,6.5,8.5,9.1,8.7,7.7,6.5
S13-R012,4.6,5.8,7.5,8.5,8.7,7.7,6.5
S13-R013,4.6,5.9,7.1,7.6,7.5,6.7,6.2
S13-R014,4.2,5.5,6.6,7.8,8.4,8.8,8.0
S13-R015,4.3,5.6,7.1,7.9,8.3,7.5,6.5
S13-R016,5.3,7.2,8.3,9.3,9.3,8.7,7.8
S13-R017,4.4,6.5,6.8,7.8,8.1,7.6,6.5
S13-R018,4.5,6.5,8.1,8.6,8.7,8.2,7.3
S13-R020,4.7,6.5,8.7,9.2,9.5,8.6,7.6
S13-R021,4.7,6.8,7.9,8.6,8.4,7.5,6.6
S13-R022,4.2,5.8,6.9,7.5,8.0,7.2,6.4
S13-R023,4.7,6.3,8.0,8.9,8.9,8.0,6.8
S13-R026,4.9,7.1,8.2,8.7,8.2,7.8,6.8
S13-R027,4.5,6.8,8.4,9.0,8.7,8.1,6.9
S13-R028,5.6,7.8,8.5,9.4,8.9,7.5,6.6
S13-R029,4.0,5.4,6.9,7.8,8.0,7.8,7.1
S13-R030,5.1,7.1,8.5,9.4,9.1,8.5,7.5
S13-R031,4.5,6.5,8.1,8.7,8.9,8.2,7.1
S13-R032,4.9,6.7,8.1,8.8,9.1,8.2,7.6
S13-R033,5.0,7.0,8.3,8.8,9.1,8.3,7.1
S13-R034,4.4,5.8,6.9,8.3,8.8,8.6,7.9
S13-R037,4.9,6.6,8.1,8.7,8.5,7.6,7.2
S13-R038,4.8,7.1,8.0,8.9,9.3,8.5,8.0
S13-R039,4.4,5.5,7.0,7.7,8.3,7.5,6.4
S13-R040,4.2,5.3,6.4,7.2,7.4,7.2,6.4
S13-R041,4.1,5.2,6.4,6.7,6.9,6.4,5.7
S13-R042,4.2,5.3,6.4,7.2,7.4,7.2,6.4
S13-R043,4.4,5.9,6.9,7.9,8.2,7.6,6.7
S13-R045,4.4,6.1,7.6,8.6,8.4,7.3,6.4
S13-R046,4.7,6.7,8.1,9.0,8.7,7.7,6.9
S13-R047,5.5,7.7,8.4,10.0,9.6,8.3,6.7
S13-R053,4.9,6.5,7.6,8.6,8.4,7.3,6.4
S13-R054,4.7,6.4,7.5,8.2,8.4,7.9,7.3
S13-R055,4.9,6.7,7.7,8.5,9.0,8.2,7.2
S13-R056,4.4,5.6,6.8,7.7,8.1,8.0,7.0
S13-R058,4.9,7.2,9.0,9.1,9.3,8.3,6.8
S13-R059,4.8,6.1,7.6,8.5,8.2,7.7,6.9
S13-R060,5.1,6.8,8.0,8.6,8.6,8.1,6.7
S13-R063,4.5,6.0,7.1,8.1,8.5,8.6,7.6
S13-R064,4.6,6.1,7.6,8.6,8.8,8.0,7.2
S13-R067,4.2,6.0,7.5,8.2,8.4,7.9,7.3
S13-R068,5.3,7.0,8.6,9.4,9.0,8.3,6.9
S13-R069,4.5,6.0,7.5,8.1,8.5,8.3,7.5
S13-R070,4.9,7.2,9.0,9.1,9.3,8.3,6.8
S13-R071,4.9,6.7,8.2,9.0,9.2,8.4,7.2
S13-R072,4.9,6.7,8.2,9.0,9.2,8.4,7.2
S13-R073,5.2,7.3,8.5,9.5,9.8,9.0,7.6
S13-R074,5.1,7.3,8.5,9.2,9.0,7.8,7.1
S13-R075,4.7,6.4,7.5,8.2,8.3,7.6,7.0
S13-R076,4.7,6.1,6.9,7.8,7.9,7.5,6.5
S13-R077,5.2,7.4,8.9,9.2,9.3,8.1,7.0
S13-R078,4.4,6.0,7.5,8.2,8.3,7.6,7.0
S13-R079,4.9,6.4,7.5,8.7,8.8,8.4,7.5
S13-R080,4.8,6.8,8.3,9.2,9.4,9.0,8.0
S13-R081,4.9,6.7,7.7,7.9,8.0,7.1,6.9
S13-R082,4.6,6.3,7.6,8.0,8.2,7.0,6.5
S13-R083,4.4,6.1,7.5,8.2,8.3,7.6,7.0
S13-R084,5.3,7.4,9.1,9.9,9.2,8.4,7.4
S13-R085,5.1,6.5,8.1,8.4,9.6,8.7,8.1
S13-R086,4.6,6.5,7.8,8.6,8.7,8.5,8.1
S13-R087,5.1,7.2,8.1,9.0,9.2,8.4,7.2
S13-R088,4.9,7.0,8.2,9.0,9.2,8.4,7.2
S13-R089,4.5,6.0,7.4,7.8,7.9,7.5,6.5
S13-R090,4.9,6.6,8.0,8.7,9.0,8.4,7.7
S13-R093,4.2,5.6,7.0,7.4,7.9,7.8,7.3
S13-R094,5.3,7.6,8.8,9.7,9.2,8.0,6.9
S13-R095,4.6,6.5,7.6,8.0,8.2,7.6,6.6
S13-R096,5.1,7.0,8.1,8.6,9.1,8.4,7.7
S13-R097,5.0,6.9,8.1,8.5,8.3,7.7,6.8
S13-R098,4.9,6.6,8.0,8.7,9.0,8.4,7.7
S13-R100,4.9,6.4,7.8,8.6,8.7,8.4,7.4
S13-R101,4.7,6.5,8.0,9.0,9.2,8.9,7.9
S13-R102,4.8,6.5,7.6,8.0,8.2,7.6,6.6
S13-R103,4.8,6.5,7.6,8.0,8.2,7.6,6.6
S13-R104,4.7,6.7,7.9,8.2,8.8,7.5,6.9
S13-R105,4.5,6.0,7.4,7.8,8.1,7.4,6.8
S13-R106,4.7,6.6,8.0,8.7,9.0,8.4,7.7
S13-R107,4.7,6.5,8.0,9.0,8.8,8.3,7.6
S13-R108,4.2,5.7,7.1,7.6,7.7,7.4,6.4
S13-R109,4.9,6.4,7.8,8.6,8.7,8.4,7.4
S13-R110,5.7,7.2,8.4,9.3,9.6,9.5,8.8
S13-R111,5.0,7.0,8.0,8.5,7.7,7.1,6.4
S13-R112,5.1,6.5,7.8,8.4,8.4,7.5,6.6
S13-R113,5.1,6.2,8.4,9.1,8.8,7.7,6.7
S13-R114,4.2,6.1,7.5,8.6,8.9,8.8,7.9
S13-R115,3.8,5.6,6.9,7.8,7.9,7.2,6.5
S13-R116,4.5,6.3,7.6,8.6,8.7,8.4,7.4
S13-R117,4.5,6.3,7.6,8.6,8.7,8.4,7.4
S13-R118,4.6,6.0,8.0,8.5,7.7,7.1,6.4
S13-R119,4.8,6.5,7.6,8.7,8.8,7.7,6.7
S13-R120,4.5,6.3,7.6,8.6,8.7,8.4,7.4
S13-R121,4.5,5.8,7.1,7.7,8.0,7.3,6.4
S13-R122,4.9,6.1,7.5,8.6,8.9,8.8,7.9
S13-R124,4.8,6.5,8.4,9.1,8.8,8.3,7.3
S13-R125,4.4,6.0,7.3,8.2,8.3,8.2,7.3
S13-R127,4.8,6.9,8.0,9.1,9.1,9.2,8.3
S13-R128,5.2,7.0,8.5,9.1,9.0,8.5,7.9
S13-R129,4.7,6.0,8.0,8.5,7.7,7.1,6.4
S13-R131,4.9,7.1,8.5,9.1,9.0,8.5,7.9
S13-R132,5.5,8.1,9.6,10.6,10.1,9.1,8.2
S13-R133,5.5,7.4,8.3,8.7,8.8,8.3,7.2
S13-R134,5.8,8.1,9.5,9.9,9.1,8.4,7.1
S13-R135,5.5,7.7,9.0,9.4,8.9,8.4,7.6
S13-R136,5.0,6.3,8.0,9.0,9.3,8.3,7.0
S13-R137,5.2,6.7,7.8,8.5,8.4,7.7,6.9
S13-R138,4.8,6.9,8.1,8.9,9.2,8.4,7.6
S13-R139,5.2,6.7,7.8,8.5,8.4,7.7,6.9
S13-R140,5.7,7.4,8.3,8.6,8.5,8.2,7.3
S13-R141,4.9,7.4,8.5,9.1,9.0,8.5,7.9
S13-R144,4.7,5.8,7.3,7.9,8.3,7.5,6.7
S13-R145,4.6,6.4,7.3,7.9,8.7,8.1,6.9
S13-R146,4.7,6.1,7.4,8.3,8.6,8.2,7.4
S13-R147,4.6,6.4,7.3,7.9,8.7,8.1,6.9
S13-R148,5.4,6.9,7.7,8.4,8.4,7.3,6.9
S13-R149,4.7,6.5,8.1,9.2,9.2,8.6,7.4
S13-R150,5.1,7.0,8.4,9.1,9.7,9.0,8.0
S13-R151,5.3,7.7,8.8,9.4,9.2,8.2,6.8
S13-R152,4.6,6.4,7.3,7.9,8.7,8.1,6.9
S13-R153,5.1,6.7,8.0,8.8,9.2,8.8,7.9
S13-R154,5.3,7.4,8.3,8.7,8.9,8.2,7.2
S13-R155,4.5,6.7,8.0,8.8,9.2,8.8,7.9
S13-R156,5.3,6.6,7.7,8.1,8.4,7.8,6.7
S13-R157,5.3,6.8,8.4,9.2,9.5,9.1,7.9
S13-R158,4.9,7.0,8.4,9.2,9.5,9.1,7.9
S13-R159,4.7,6.1,7.4,8.3,8.6,8.2,7.3
S13-R160,4.1,5.6,7.2,7.5,7.9,7.5,6.9
S13-R161,4.7,6.1,7.4,8.3,8.6,8.2,7.3
S13-R162,5.4,6.8,7.8,8.2,8.5,7.6,6.8
S13-R163,4.4,6.6,7.8,8.1,8.4,7.8,6.7
S13-R166,4.8,6.3,7.3,8.0,7.6,6.4,6.0
S13-R167,4.7,6.1,7.2,7.9,8.7,8.1,6.9
S13-R168,4.6,6.4,7.3,7.9,8.7,8.1,6.9
S13-R169,4.1,5.6,7.2,7.5,7.9,7.5,6.9
S13-R170,5.1,6.7,8.0,8.8,9.2,8.8,7.9
S13-R171,4.9,6.5,8.0,8.6,8.6,7.6,6.7
S13-R172,4.9,6.4,7.5,8.1,8.2,7.6,7.0
S13-R174,4.9,6.1,7.8,8.6,9.0,7.5,6.7
S13-R175,4.2,5.6,6.6,7.5,7.9,7.5,6.9
S13-R176,4.5,6.2,8.0,9.2,9.5,8.8,7.9
S13-R177,4.4,6.6,7.8,8.1,8.4,7.8,6.7
S13-R178,5.6,7.6,8.7,9.1,9.1,7.9,7.4
S13-R179,4.7,6.2,7.8,8.4,8.5,7.6,6.4
S13-R182,5.1,6.7,7.5,8.3,8.2,7.8,6.8
